الاسم,الإجمالي,أحياء,متوفون,يحتاج_مراجعة,محمد,خلف,سعد,ناصر,زويّد بن محمد,لويحق بن محمد,سالم بن محمد,محمد بن خلف,عبدالله بن خلف,خلف بن خلف,ناصر بن سعد,علي بن سعد,سعود بن سعد,عبدالله بن ناصر,صقر بن ناصر,سعد بن ناصر,محمد بن ناصر,سعود بن ناصر
عبدالواحد,2,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
قصي,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
المثنى,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
حاكم,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
عارف,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
مقرن,2,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
غسان,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
فزاع,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
بتال,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ممدوح,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
بشار,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
عاصم,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
أوس,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
زويّد,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
سالم,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ملوح,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
عبيد,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
مخضار,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
هديب,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
هاجد,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
عيسى,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
هذال,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
حازم,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ماهر,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
مراد,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
عناد,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
جمال,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
العظيمعبد,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
مطرود,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
أشرف,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
بركات,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
